package_name,title_de,maintainer,maintainer_email,issued,modified,license,keywords_de
geochemischer-bodenatlas-der-schweiz-schwefel,Geochemischer Bodenatlas der Schweiz: Schwefel,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,atlas,interpolation,toxische-metalle,biogeochemie,schwermetall,bodenkartierung,bgdi-bundesgeodaten-infrastruktur,bund,bodeneigenschaften"
smaragd-gebiete,Smaragd Gebiete,bnl@bafu.admin.ch,,2009-09-17T00:00:00,,,"biotop,lebensraume-und-biotope,schutzgebiete,bgdi-bundesgeodaten-infrastruktur"
schweizerischer-nationalpark,"Schweizerischer Nationalpark, Nationalparkgrenze korrigiert",bnl@bafu.admin.ch,,1990-01-01T00:00:00,2001-01-17T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,e-geoch,landschaft,umwelt,schutzgebiete,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-carolina-nachtschatten,Invasive gebietsfremde Pflanzen - Potentialkarte Carolina-Nachtschatten,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
bundesinventar-der-trockenwiesen-und-weiden-von-nationaler-bedeutung-anhang-2,Bundesinventar der Trockenwiesen und -weiden von nationaler Bedeutung - Anhang 2,bnl@bafu.admin.ch,,,2025-12-01T00:00:00,,"inventar,biotop,trockengebiet,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur,bundesinventar,biodiversitat"
larmbelastung-durch-eisenbahnverkehr-lr_nacht,Lärmbelastung durch Eisenbahnverkehr (Lr_Nacht),noise@bafu.admin.ch,,2009-01-01T00:00:00,2021-12-31T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,larmpegel,larmbelastung,larmbekampfung,verkehrslarm,larm,larmwirkung,larmimmission,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur"
bundesinventar-der-wasser-und-zugvogelreservate-von-internationaler-und-nationaler-bedeutung,Bundesinventar der Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,bnl@bafu.admin.ch,,1991-01-01T00:00:00,2023-07-01T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,zugvogel,wasservogel,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
amphibienwanderungen-mit-verkehrskonflikten,Amphibienwanderungen mit Verkehrskonflikten,bnl@bafu.admin.ch,,,2024-09-02T00:00:00,,"verkehr,umwelt,amphibien,uberquerung-fur-tiere,verkehrsnetze,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
nationales-okologisches-netzwerk-ren-lebensraum-feuchtgebiet,"Nationales ökologisches Netzwerk REN, Lebensraum Feuchtgebiet",bnl@bafu.admin.ch,,,2011-02-14T00:00:00,,"zerstorung-des-lebensraums,feuchtgebiet,umwelt,artenvielfalt,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
luftbelastung-durch-stickstoffdioxid,Luftbelastung durch Stickstoffdioxid,chemicals@bafu.admin.ch,,2025-01-01T00:00:00,,,"schadstoff,luftschadstoff,luft,atmospharische-bedingungen,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
invasive-gebietsfremde-pflanzen-potentialkarte-gestreiftes-sussgras,Invasive gebietsfremde Pflanzen - Potentialkarte Gestreiftes Süssgras,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
niederschlagssumme-juni-august-periode-2070-2099-szenario-rcp-2-6,"Niederschlagssumme Juni-August, Periode 2070-2099, Szenario RCP 2.6",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha11,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Dezember",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"bodenerosion,erosionsschutz,erosion,boden,atmospharische-bedingungen,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
geochemischer-bodenatlas-der-schweiz-quecksilber,Geochemischer Bodenatlas der Schweiz: Quecksilber,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,boden,atlas,biogeochemie,schwermetall,interpolation,toxische-metalle,bodenkartierung,bodenqualitat,bund,bgdi-bundesgeodaten-infrastruktur"
sturmgefahrdung,Sturmgefährdung,wald@bafu.admin.ch,,2014-11-07T00:00:00,,,"naturrisikoanalyse,naturrisiko,luftbewegung,sturm,wind,bgdi-bundesgeodaten-infrastruktur"
geochemischer-bodenatlas-der-schweiz-natrium,Geochemischer Bodenatlas der Schweiz: Natrium,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,metall,interpolation,biogeochemie,atlas,bodeneigenschaften,bund,bgdi-bundesgeodaten-infrastruktur,bodenkartierung"
restwasserkarte-schweiz-zuleitung,Restwasserkarte Schweiz: Zuleitung,wasser@bafu.admin.ch,,,2004-01-01T00:00:00,,"umwelt,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-kanadische-wasserpest,Invasive gebietsfremde Pflanzen - Potentialkarte Kanadische Wasserpest,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-mahonie,Invasive gebietsfremde Pflanzen - Potentialkarte Mahonie,altlasten@bafu.admin.ch,,,2015-10-08T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-dezember,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Dezember",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"niederschlagserhohung,bodenerosion,erosionsschutz,erosion,boden,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
geochemischer-bodenatlas-der-schweiz-vanadium,Geochemischer Bodenatlas der Schweiz: Vanadium,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,umweltanalyse,interpolation,schwermetallbelastung,bodenbelastung,biogeochemie,toxische-metalle,boden,boden,bodenkartierung,bund,bodenqualitat,bgdi-bundesgeodaten-infrastruktur"
tranquillity-map,Tranquillity Map,bnl@bafu.admin.ch,,2021-08-24T00:00:00,,,"naturliche-lebensraume-landschaft-okosysteme,bgdi-bundesgeodaten-infrastruktur,freizeitanlage,grunzone,ruhe"
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-250-jahre,Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 250 Jahre,gefahrenpraevention@bafu.admin.ch,,2008-12-18T00:00:00,,,"naturrisikoanalyse,naturgefahr,naturrisiko,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur"
geochemischer-bodenatlas-der-schweiz-blei,Geochemischer Bodenatlas der Schweiz: Blei,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,boden,schwermetallbelastung,atlas,atlas,toxische-metalle,toxische-metalle,interpolation,interpolation,biogeochemie,biogeochemie,bund,bodenkartierung,bodeneigenschaften,bgdi-bundesgeodaten-infrastruktur"
bilanzgebiete-einzugsgebiete-hades,Bilanzgebiete (Einzugsgebiete) HADES,hydrologie@bafu.admin.ch,,2004-01-01T00:00:00,,,"gewasser,bgdi-bundesgeodaten-infrastruktur,gewiss"
kantonale-und-private-messstationen-hades-5-1-2,Kantonale und private Messstationen (HADES 5.1.2),hydrologie@bafu.admin.ch,,2003-01-01T00:00:00,,,"bgdi-bundesgeodaten-infrastruktur,gewasser,gewiss"
geochemischer-bodenatlas-der-schweiz-cobalt,Geochemischer Bodenatlas der Schweiz: Cobalt,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,boden,schwermetall,toxische-metalle,interpolation,atlas,biogeochemie,bund,bodenkartierung,bgdi-bundesgeodaten-infrastruktur,bodeneigenschaften"
allgemeine-lage-der-fliessgewasser-und-seen,Allgemeine Lage der Fliessgewässer und Seen,hydrologie@bafu.admin.ch,,2014-10-30T00:00:00,,,"gewasser,see,fliessgewasser,hydrologie,bgdi-bundesgeodaten-infrastruktur"
vergleich-von-abfluss-und-pegeldaten-mit-den-gefahrenstufen,Vergleich von Abfluss- und Pegeldaten mit den Gefahrenstufen,hydrologie@bafu.admin.ch,,2014-10-30T00:00:00,,,"see,hydrologie,gewasser,fliessgewasser,bgdi-bundesgeodaten-infrastruktur"
geochemischer-bodenatlas-der-schweiz-antimon,Geochemischer Bodenatlas der Schweiz: Antimon,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,interpolation,atlas,schwermetallbelastung,toxische-metalle,biogeochemie,bodenkartierung,bodeneigenschaften,bund,bgdi-bundesgeodaten-infrastruktur"
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha10,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), November",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"bodenerosion,erosion,boden,erosionsschutz,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund"
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-500-jahre,Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 500 Jahre,gefahrenpraevention@bafu.admin.ch,,2008-12-18T00:00:00,,,"naturrisikoanalyse,naturgefahr,naturrisiko,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur"
mittlere-abflusse-m-s-und-abflussregimetyp-fur-das-gewassernetz-der-schweiz,Mittlere Abflüsse (m³/s) und Abflussregimetyp für das Gewässernetz der Schweiz,hydrologie@bafu.admin.ch,,2000-12-31T00:00:00,,,"wasser,gewasser,bgdi-bundesgeodaten-infrastruktur,gewiss"
hqstat-hochwasserstatistik,HQStat Hochwasserstatistik,hydrologie@bafu.admin.ch,,2014-01-01T00:00:00,,,"gewiss,gewasser,bgdi-bundesgeodaten-infrastruktur"
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-oktober,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Oktober",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"erosion,niederschlagserhohung,bodenerosion,erosionsschutz,boden,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
krebspest-nachweis-in-der-schweiz,Krebspest - Nachweis in der Schweiz,wasser@bafu.admin.ch,,2011-01-12T00:00:00,,,"tierkrankheit,artenschutz,fauna,fisch,fischerei,wasser,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
messstationen-wassertemperatur,Messstationen Wassertemperatur,hydrologie@bafu.admin.ch,,,2017-10-01T00:00:00,,"umwelt,umweltuberwachung,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur"
alpweiden-geschutzt-durch-herdenschutzhunde,Alpweiden geschützt durch Herdenschutzhunde,bnl@bafu.admin.ch,,2020-05-12T01:25:00,2026-05-18T00:00:00,,bgdi-bundesgeodaten-infrastruktur
nationale-daueruntersuchung-der-schweizerischen-fliessgewasser-naduf-standorte-der-messstatione,Nationale Daueruntersuchung der schweizerischen Fliessgewässer (NADUF) - Standorte der Messstationen,hydrologie@bafu.admin.ch,,,2022-12-07T00:00:00,,"geobasisdaten,gewiss,aufbewahrungs--und-archivierungsplanung-aap---bund,gewasser,bgdi-bundesgeodaten-infrastruktur"
larmbelastung-durch-strassenverkehr-lr_nacht,Lärmbelastung durch Strassenverkehr (Lr_Nacht),noise@bafu.admin.ch,,2009-01-01T00:00:00,2021-12-31T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,e-geoch,larmimmission,larm,larmpegel,larmbekampfung,verkehrslarm,larmbelastung,larmwirkung,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur"
wildtierpassagen,Wildtierpassagen der Schweiz,bnl@bafu.admin.ch,,2023-08-23T00:00:00,,,"wildtier,umwelt,fauna,umweltuberwachung,biotopverbund,bgdi-bundesgeodaten-infrastruktur"
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha4,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Januar",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"bodenerosion,erosion,erosionsschutz,boden,atmospharische-bedingungen,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
wasserverfugbarkeit-im-boden,Wasserverfügbarkeit im Boden (Standortwasserbilanz),wald@bafu.admin.ch,,2019-02-06T00:00:00,2019-02-06T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,waldokologie,wald,waldbestand,bgdi-bundesgeodaten-infrastruktur"
klaranlagendatenbank-ara-db-reinigungstyp,Kläranlagendatenbank (ARA-DB) - Reinigungstyp,wasser@bafu.admin.ch,,2014-01-01T00:00:00,,,"gewiss,bgdi-bundesgeodaten-infrastruktur,wasser"
invasive-gebietsfremde-pflanzen-potentialkarte-schmetterlingsstrauch,Invasive gebietsfremde Pflanzen - Potentialkarte Schmetterlingsstrauch,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
wirtschaftsregionen-lfi,Wirtschaftsregionen LFI,wslinfo@wsl.ch,,,2020-11-16T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,waldbestand,wald,bgdi-bundesgeodaten-infrastruktur"
perimeter-der-vorhandenen-spektralen-mikrozonierungsstudien,Perimeter der vorhandenen spektralen Mikrozonierungsstudien,gefahrenpraevention@bafu.admin.ch,,2008-01-01T00:00:00,2023-06-09T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,erdbeben,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur"
dokutool-zukunftsbaumarten,DokuTool Zukunftsbaumarten,info@gebirgswald.ch,,2024-11-24T00:00:00,,,"wald,erdbeobachtung,umwelt,wms,schutzwald"
kartierung-der-auengebiete-von-nationaler-bedeutung,Kartierung der Auengebiete von nationaler Bedeutung,bnl@bafu.admin.ch,,1992-01-01T00:00:00,2026-05-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,lebensraume-und-biotope,schutzgebiete,bgdi-bundesgeodaten-infrastruktur"
auengebiete-ausserhalb-bundesinventar,Auengebiete ausserhalb Bundesinventar,bnl@bafu.admin.ch,,,2017-11-01T00:00:00,,"umwelt,lebensraume-und-biotope,schutzgebiete,e-geoch,biodiversitat,bundesinventar,bgdi-bundesgeodaten-infrastruktur,biodiversitat,bundesinventar,lufthygiene"
restwasserkarte-schweiz-wasserentnahme,Restwasserkarte Schweiz: Wasserentnahme,wasser@bafu.admin.ch,,,2004-01-01T00:00:00,,"umwelt,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur,geobasisdaten"
bundesinventar-der-auengebiete-von-nationaler-bedeutung,Bundesinventar der Auengebiete von nationaler Bedeutung,bnl@bafu.admin.ch,,1992-01-01T00:00:00,2017-11-01T00:00:00,,"biodiversitat,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-auslauferbildendes-fettkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Ausläuferbildendes Fettkraut,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
beurteilung-des-biologischen-gewasserzustandes-wasserpflanzen-makrophyten,Beurteilung des biologischen Gewässerzustandes: Wasserpflanzen (Makrophyten),wasser@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser"
invasive-gebietsfremde-pflanzen-potentialkarte-verlotscher-beifuss,Invasive gebietsfremde Pflanzen - Potentialkarte Verlotscher Beifuss,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
hochwasserwarnkarte,Hochwasserwarnkarte,hydrologie@bafu.admin.ch,,2014-11-05T00:00:00,,,"hochwasser,fliessgewasser,hydrologie,see,naturgefahr,gewasser,bgdi-bundesgeodaten-infrastruktur"
beurteilung-des-biologischen-gewasserzustandes-makrozoobenthos,Beurteilung des biologischen Gewässerzustandes: Makrozoobenthos,wasser@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser"
biogeographische-regionen-der-schweiz-ch,Biogeographische Regionen der Schweiz (CH),bnl@bafu.admin.ch,,2001-01-01T00:00:00,2020-09-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,fauna,flora,naturschutz,biogeografische-regionen,bgdi-bundesgeodaten-infrastruktur"
topographische-einzugsgebiete-der-schweizer-gewasser-vorfluter,Topographische Einzugsgebiete Schweizer Gewässer: Vorfluterabschnitte,hydrologie@bafu.admin.ch,,2010-07-01T00:00:00,,,"gewassernetz,geobasisdaten,bgdi-bundesgeodaten-infrastruktur"
lebensraumkarte-der-schweiz,Lebensraumkarte der Schweiz (WSL) v1.2,bnl@bafu.admin.ch,,,,,bgdi-bundesgeodaten-infrastruktur
schutzgebiete-der-zivilen-luftfahrthindernispublikation-jagdbanngebiete,Schutzgebiete der zivilen Luftfahrthindernispublikation - Jagdbanngebiete,bnl@bafu.admin.ch,,,2023-07-01T00:00:00,,"schutzgebiete,luftfahrthindernis,luftfahrt,bgdi-bundesgeodaten-infrastruktur"
vegetationshohenmodell-sentinel-lfi,Vegetationshöhenmodell Sentinel LFI,remotesensing@wsl.ch,,2016-10-31T00:00:00,2026-03-05T00:00:00,,"bgdi-bundesgeodaten-infrastruktur,geobasisdaten,fise-forest-information-system-for-europe,aufbewahrungs--und-archivierungsplanung-aap---bund,wald,waldbestand,bgdi-bundesgeodaten-infrastruktur"
bundesinventar-der-trockenwiesen-und-weiden-von-nationaler-bedeutung-tww,Bundesinventar der Trockenwiesen und -weiden von nationaler Bedeutung (TWW),bnl@bafu.admin.ch,,2020-12-10T00:00:00,2025-12-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,biotop,trockengebiet,inventar,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
aktuelle-lage-trockenheit-in-der-schweiz,Aktuelle Lage Trockenheit in der Schweiz,hydrologie@bafu.admin.ch,,2024-11-25T00:00:00,,,"landwirtschaft,see,niederschlag,gewasser,hydrologie,fliessgewasser,bgdi-bundesgeodaten-infrastruktur"
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha9,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Juli",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"erosion,erosionsschutz,bodenerosion,boden,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch"
bundesinventar-der-flachmoore-von-nationaler-bedeutung,Bundesinventar der Flachmoore von nationaler Bedeutung,bnl@bafu.admin.ch,,1994-01-01T00:00:00,2025-12-01T00:00:00,,"geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-essbare-kermesbeere,Invasive gebietsfremde Pflanzen - Potentialkarte Essbare Kermesbeere,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
uberschwemmungsgebiete-aquaprotect-wiederkehrperiode-100-jahre,Überschwemmungsgebiete Aquaprotect: Wiederkehrperiode 100 Jahre,gefahrenpraevention@bafu.admin.ch,,2008-12-18T00:00:00,,,"naturgefahr,naturrisikoanalyse,naturrisiko,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur"
basismessnetz-oberflachengewasser,Basismessnetz Oberflächengewässer,hydrologie@bafu.admin.ch,,,2019-12-31T00:00:00,,"umwelt,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
larmbelastung-durch-eisenbahnverkehr-lr_tag,Lärmbelastung durch Eisenbahnverkehr (Lr_Tag),noise@bafu.admin.ch,,2009-01-01T00:00:00,2021-12-31T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,verkehrslarm,larmpegel,larmimmission,larmbelastung,larmwirkung,larmbekampfung,larm,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur"
pro-natura-naturschutzgebiete,Pro Natura Naturschutzgebiete,mailbox@pronatura.ch,,,2026-05-06T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
schatzung-der-direkten-co-emissionen-aufgrund-des-warmebedarfs-gemass-sia-norm-380-1-2016,Schätzung der direkten CO₂-Emissionen aufgrund des Wärmebedarfs gemäss SIA -Norm 380/1 (2016),gis@bafu.admin.ch,,2022-09-09T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,klima"
thermische-kontinentalitat-auf-1000-m-u-m-im-jahr-periode-1981-2010,"Thermische Kontinentalität auf 1000 m ü. M. im Jahr, Periode 1981-2010",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
einzugsgebietseinheiten-in-karstgebieten,Einzugsgebietseinheiten in Karstgebieten,hydrogeologie@bafu.admin.ch,,2016-03-01T00:00:00,,,"hydrogeologie,umwelt,karstgebiet,quelle,grundwasser"
niederschlagssumme-april-august-periode-2070-2099-szenario-rcp-2-6,"Niederschlagssumme April-August, Periode 2070-2099, Szenario RCP 2.6",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
basisgebiete-einzugsgebiete-hades,Basisgebiete (Einzugsgebiete) HADES,hydrologie@bafu.admin.ch,,2004-01-01T00:00:00,,,"hydrologie,atlas,gewasser,gewiss,bgdi-bundesgeodaten-infrastruktur,wasser"
reliefschattierung-zum-vegetationshohenmodell-sentinel-lfi,Reliefschattierung zum Vegetationshöhenmodell Sentinel LFI,remotesensing@wsl.ch,,2016-10-31T00:00:00,2024-10-31T00:00:00,,"geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,bgdi-bundesgeodaten-infrastruktur,fise-forest-information-system-for-europe,waldbestand,wald,bgdi-bundesgeodaten-infrastruktur"
mittlere-hochstwerte-des-tagesganges-der-lufttemperatur-im-juli-periode-2070-2099-szenario-rcp-,"Mittlere Höchstwerte des Tagesganges der Lufttemperatur im Juli, Periode 2070-2099, Szenario RCP 8.5",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,klima,luft-atmosphare,klima,luft-atmosphare,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-grossblutiges-heusenkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Grossblütiges Heusenkraut,altlasten@bafu.admin.ch,,,2015-10-08T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
relative-luftfeuchtigkeit-im-jahr-periode-1981-2010,"Relative Luftfeuchtigkeit im Jahr, Periode 1981-2010",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
datenbank-geschiebefrachten-bund,Datenbank Geschiebefrachten (Bund),hydrologie@bafu.admin.ch,,2009-01-01T00:00:00,,,"gewasser,wasser,gewiss,bgdi-bundesgeodaten-infrastruktur"
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-februar,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Februar",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"niederschlagserhohung,bodenerosion,boden,erosionsschutz,erosion,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund"
mittlere-abflusse-in-der-zukunft-resultate-aus-dem-projekt-hydro-ch2018,Mittlere Abflüsse in der Zukunft – Resultate aus dem Projekt Hydro-CH2018,hydrologie@bafu.admin.ch,,2021-02-17T00:00:00,,,"umwelt,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
fohnhaufigkeit-im-jahr-periode-variabel-maximal-1969-2013,"Föhnhäufigkeit im Jahr, Periode variabel (maximal 1969-2013)",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur"
topographische-einzugsgebiete-der-schweizer-gewasser-teileinzugsgebiete-40-km,Topographische Einzugsgebiete der Schweizer Gewässer: Teileinzugsgebiete 40 km²,hydrologie@bafu.admin.ch,,2010-07-01T00:00:00,,,"umweltuberwachung,gewassernetz,bgdi-bundesgeodaten-infrastruktur"
invasive-gebietsfremde-pflanzen-potentialkarte-kirschlorbeer,Invasive gebietsfremde Pflanzen - Potentialkarte Kirschlorbeer,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur"
topographische-einzugsgebiete-schweizer-gewasser-gebietsauslasse,Topographische Einzugsgebiete Schweizer Gewässer: Gebietsauslässe,hydrologie@bafu.admin.ch,,2010-07-01T00:00:00,,,"gewassernetz,geobasisdaten,bgdi-bundesgeodaten-infrastruktur"
sturmgefahrdung-boenspitzen-mit-wiederkehrperiode-50-jahre,Sturmgefährdung: Böenspitzen mit Wiederkehrperiode 50 Jahre,wald@bafu.admin.ch,,2014-11-07T00:00:00,,,"naturrisikoanalyse,wind,sturm,luftbewegung,naturrisiko,bgdi-bundesgeodaten-infrastruktur"
beurteilung-des-biologischen-gewasserzustandes-fische,Beurteilung des biologischen Gewässerzustandes: Fische,wasser@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser"
