package_name,title_de,maintainer,maintainer_email,issued,modified,license,keywords_de,snapshot_date
sturmgefahrdung-staudruck-mit-wiederkehrperiode-30-jahre,Sturmgefährdung: Staudruck mit Wiederkehrperiode 30 Jahre,wald@bafu.admin.ch,,2014-11-07T00:00:00,,,"naturrisikoanalyse,naturrisiko,luftbewegung,wind,sturm,bgdi-bundesgeodaten-infrastruktur",2026-06-19
thermische-kontinentalitat-auf-1000-m-u-m-im-juli-periode-1981-2010,"Thermische Kontinentalität auf 1000 m ü. M. im Juli, Periode 1981-2010",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
messstationen-der-hydrologischen-untersuchungsgebiete,Messstationen der hydrologischen Untersuchungsgebiete,hydrologie@bafu.admin.ch,,2013-01-01T00:00:00,2016-07-27T00:00:00,,"gewiss,gewasser,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-balfours-springkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Balfours Springkraut,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
niederschlagssumme-april-august-periode-2070-2099-szenario-rcp-4-5,"Niederschlagssumme April-August, Periode 2070-2099, Szenario RCP 4.5",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
schutzgebiete-der-zivilen-luftfahrthindernispublikation-moorlandschaften,Schutzgebiete der zivilen Luftfahrthindernispublikation - Moorlandschaften,bnl@bafu.admin.ch,,,2017-11-01T00:00:00,,"schutzgebiete,luftfahrthindernis,luftfahrt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
allgemeine-lage-der-fliessgewasser-und-seen,Allgemeine Lage der Fliessgewässer und Seen,hydrologie@bafu.admin.ch,,2014-10-30T00:00:00,,,"gewasser,see,fliessgewasser,hydrologie,bgdi-bundesgeodaten-infrastruktur",2026-06-19
geochemischer-bodenatlas-der-schweiz-natrium,Geochemischer Bodenatlas der Schweiz: Natrium,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,metall,interpolation,biogeochemie,atlas,bodeneigenschaften,bund,bgdi-bundesgeodaten-infrastruktur,bodenkartierung",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-sachalin-staudenknoterich,Invasive gebietsfremde Pflanzen - Potentialkarte Sachalin-Staudenknöterich,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-dezember,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Dezember",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"niederschlagserhohung,bodenerosion,erosionsschutz,erosion,boden,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-19
geochemischer-bodenatlas-der-schweiz-vanadium,Geochemischer Bodenatlas der Schweiz: Vanadium,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"boden,umweltanalyse,interpolation,schwermetallbelastung,bodenbelastung,biogeochemie,toxische-metalle,boden,boden,bodenkartierung,bund,bodenqualitat,bgdi-bundesgeodaten-infrastruktur",2026-06-19
kartierung-der-auengebiete-von-nationaler-bedeutung-nutzungen-und-eingriffe,Kartierung der Auengebiete von nationaler Bedeutung - Nutzungen und Eingriffe,bnl@bafu.admin.ch,,2015-05-26T00:00:00,,,"umwelt,lebensraume-und-biotope,schutzgebiete,e-geoch",2026-06-19
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Oktober",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"erosion,erosionsschutz,bodenerosion,boden,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-grossblutiges-heusenkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Grossblütiges Heusenkraut,altlasten@bafu.admin.ch,,,2015-10-08T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
relative-luftfeuchtigkeit-im-jahr-periode-1981-2010,"Relative Luftfeuchtigkeit im Jahr, Periode 1981-2010",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
datenbank-geschiebefrachten-bund,Datenbank Geschiebefrachten (Bund),hydrologie@bafu.admin.ch,,2009-01-01T00:00:00,,,"gewasser,wasser,gewiss,bgdi-bundesgeodaten-infrastruktur",2026-06-19
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha9,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Juli",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"erosion,erosionsschutz,bodenerosion,boden,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-19
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-februar,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Februar",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"niederschlagserhohung,bodenerosion,boden,erosionsschutz,erosion,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund",2026-06-19
relative-luftfeuchtigkeit-im-juli-periode-1981-2010,"Relative Luftfeuchtigkeit im Juli, Periode 1981-2010",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
beurteilung-des-biologischen-gewasserzustandes-kieselalgen-diatomeen,Beurteilung des biologischen Gewässerzustandes: Kieselalgen (Diatomeen),wasser@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser",2026-06-19
mittlere-abflusse-in-der-zukunft-resultate-aus-dem-projekt-hydro-ch2018,Mittlere Abflüsse in der Zukunft – Resultate aus dem Projekt Hydro-CH2018,hydrologie@bafu.admin.ch,,2021-02-17T00:00:00,,,"umwelt,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
fohnhaufigkeit-im-jahr-periode-variabel-maximal-1969-2013,"Föhnhäufigkeit im Jahr, Periode variabel (maximal 1969-2013)",wald@bafu.admin.ch,,2022-03-09T00:00:00,,,"forstwirtschaft,sturmschaden,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
topographische-einzugsgebiete-der-schweizer-gewasser-teileinzugsgebiete-40-km,Topographische Einzugsgebiete der Schweizer Gewässer: Teileinzugsgebiete 40 km²,hydrologie@bafu.admin.ch,,2010-07-01T00:00:00,,,"umweltuberwachung,gewassernetz,bgdi-bundesgeodaten-infrastruktur",2026-06-19
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-juni,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, Juni",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"erosion,erosionsschutz,bodenerosion,niederschlagserhohung,boden,bgdi-bundesgeodaten-infrastruktur,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-essigbaum,Invasive gebietsfremde Pflanzen - Potentialkarte Essigbaum,altlasten@bafu.admin.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
vegetationshohenstufen-modelliert-fur-1975,Vegetationshöhenstufen modelliert für 1975,wslinfo@wsl.ch,,2021-09-09T00:00:00,2021-09-09T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,waldokologie,waldbestand,wald,bgdi-bundesgeodaten-infrastruktur",2026-06-19
quellen-und-schwinden-in-karstgebieten,Quellen und Schwinden in Karstgebieten,hydrogeologie@bafu.admin.ch,,2016-03-01T00:00:00,,,"grundwasser,quelle,karstgebiet,hydrogeologie,umwelt",2026-06-19
sturmgefahrdung-boenspitzen-mit-wiederkehrperiode-50-jahre,Sturmgefährdung: Böenspitzen mit Wiederkehrperiode 50 Jahre,wald@bafu.admin.ch,,2014-11-07T00:00:00,,,"naturrisikoanalyse,wind,sturm,luftbewegung,naturrisiko,bgdi-bundesgeodaten-infrastruktur",2026-06-19
beurteilung-des-biologischen-gewasserzustandes-fische,Beurteilung des biologischen Gewässerzustandes: Fische,wasser@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser",2026-06-19
monatliche-erosionsrisikokarten-des-schweizer-dauergrunlands-mittlerer-bodenabtrag-in-tonnen-ha5,"Monatliche Erosionsrisikokarten des Schweizer Dauergrünlands, mittlerer Bodenabtrag in Tonnen/(ha*Monat), Juni",altlasten@bafu.admin.ch,,2019-04-01T00:00:00,2019-06-27T00:00:00,,"erosion,bodenerosion,erosionsschutz,boden,gesundheit-und-sicherheit,atmospharische-bedingungen,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-19
geochemischer-bodenatlas-der-schweiz-arsen,Geochemischer Bodenatlas der Schweiz: Arsen,altlasten@bafu.admin.ch,,2023-06-30T00:00:00,,,"nahrstoffgehalt,biogeochemie,bodenchemie,atlas,boden,interpolation,toxische-metalle,schwermetallbelastung,mineralische-bodenschatze,aufbewahrungs--und-archivierungsplanung-aap---bund,bund,bodenkartierung,bodenqualitat,bgdi-bundesgeodaten-infrastruktur",2026-06-19
monatliche-niederschlagserosivitatskarten-r-faktor-der-schweiz-in-mj-mm-ha-h-monat-august,"Monatliche Niederschlagserosivitätskarten (R-Faktor) der Schweiz in MJ mm ha⁻¹ h⁻¹ Monat⁻¹, August",altlasten@bafu.admin.ch,,2019-10-02T00:00:00,2020-02-27T00:00:00,,"bodenerosion,erosion,erosionsschutz,niederschlagserhohung,boden,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch",2026-06-19
beurteilung-des-chemischen-gewasserzustandes-ammonium,Beurteilung des chemischen Gewässerzustandes: Ammonium,hydrologie@bafu.admin.ch,,2014-03-26T00:00:00,,,"umwelt,bgdi-bundesgeodaten-infrastruktur,fliessgewasser",2026-06-19
waldschadenflachen-vivian-1990,Waldschadenflächen Vivian 1990,wald@bafu.admin.ch,,1992-01-15T00:00:00,,,"forstwirtschaft,sturmschaden,bgdi-bundesgeodaten-infrastruktur",2026-06-19
aschenpopulationen-von-nationaler-bedeutung-larvenhabitate,Äschenpopulationen von nationaler Bedeutung: Larvenhabitate,wasser@bafu.admin.ch,,,2011-08-29T00:00:00,,"umwelt,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
geodatenmodell-und-dokumentation-auengebiete_v1_2,"Geodatenmodell und Dokumentation ""Auengebiete_V1_2""",gis@bafu.admin.ch,,2022-06-02T00:00:00,,,"geodatenmodell,minimales-geodatenmodel-mgdm,modelldokumentation,bundesinventar,biodiversitat",2026-06-19
geographische-regionen-nationale-grundwasserbeobachtung-naqua,Geographische Regionen – Nationale Grundwasserbeobachtung NAQUA,hydrogeologie@bafu.admin.ch,,2026-02-06T00:00:00,,,"hydrogeologie,wasser,umwelt",2026-06-19
tafel-8-7-vulnerabilitat-der-grundwasservorkommen2,Tafel 8.7 Vulnerabilität der Grundwasservorkommen,hydrologie@bafu.admin.ch,,2007-01-01T00:00:00,,,bund,2026-06-19
hades-bilanzierungsgebiete,HADES: Bilanzierungsgebiete,hydrologie@bafu.admin.ch,,2018-01-01T00:00:00,2025-05-13T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,hydrogeologie,atlas,hydrologie,gewassernetz,umweltuberwachung,opendata,bgdi-bundesgeodaten-infrastruktur,wasserbau,hydrologie",2026-06-19
mittlere-niederschlagshohen-im-alpenraum-197120081,Mittlere Niederschlagshöhen im Alpenraum 1971–2008,hydrologie@bafu.admin.ch,,2018-01-01T00:00:00,,,bund,2026-06-19
niederschlagsverhaltnisse-seit-1864,Niederschlagsverhältnisse seit 1864,hydrologie@bafu.admin.ch,,2020-01-01T00:00:00,,,bund,2026-06-19
extreme-punktniederschlage3,Extreme Punktniederschläge,hydrologie@bafu.admin.ch,,2018-01-01T00:00:00,2022-01-01T00:00:00,,bund,2026-06-19
mittlere-jahrliche-verdunstungshohen-19731992,Mittlere jährliche Verdunstungshöhen 1973–1992,hydrologie@bafu.admin.ch,,1999-01-01T00:00:00,,,bund,2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-igelgurke,Invasive gebietsfremde Pflanzen - Potentialkarte Igelgurke,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
karte-der-aktuellen-erdbeben-letzte-90-tage-in-der-schweiz-und-im-grenznahen-ausland,Karte der aktuellen Erdbeben (letzte 90 Tage) in der Schweiz und im grenznahen Ausland,sedweb@sed.ethz.ch,,2016-11-01T00:00:00,,,"erdbeben,landsat,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur",2026-06-19
alpweiden-geschutzt-durch-herdenschutzhunde,Alpweiden geschützt durch Herdenschutzhunde,bnl@bafu.admin.ch,,2020-05-12T01:25:00,2026-05-18T00:00:00,,bgdi-bundesgeodaten-infrastruktur,2026-06-19
gefahrdungskarte-oberflachenabfluss,Gefährdungskarte Oberflächenabfluss,gefahrenpraevention@bafu.admin.ch,,2018-05-22T00:00:00,2023-02-09T00:00:00,,"oberflachenabfluss,gewitter,uberschwemmung,hochwasser,naturrisikoanalyse,naturgefahr,regen-niederschlag,gefahrenanalyse,naturrisiko,bgdi-bundesgeodaten-infrastruktur",2026-06-19
biogeographische-regionen-der-schweiz-ch,Biogeographische Regionen der Schweiz (CH),bnl@bafu.admin.ch,,2001-01-01T00:00:00,2020-09-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,fauna,flora,naturschutz,biogeografische-regionen,bgdi-bundesgeodaten-infrastruktur",2026-06-19
hinweiskarte-der-potenziellen-permafrostverbreitung,Hinweiskarte der potenziellen Permafrostverbreitung,gefahrenpraevention@bafu.admin.ch,,2005-12-31T00:00:00,,,"karte,naturrisiko,permafrost-okosystem,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund",2026-06-19
karte-der-historischen-erdbeben-in-der-schweiz-und-im-grenznahem-ausland,Karte der historischen Erdbeben in der Schweiz und im grenznahem Ausland,sedweb@sed.ethz.ch,,2011-04-28T00:00:00,,,"erdbeben,katalog,gebiete-mit-naturbedingten-risiken,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-schmetterlingsstrauch,Invasive gebietsfremde Pflanzen - Potentialkarte Schmetterlingsstrauch,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-felsen-greiskraut,Invasive gebietsfremde Pflanzen - Potentialkarte Felsen-Greiskraut,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
unesco-welterbe-naturstatten,UNESCO-Welterbe Naturstätten,bnl@bafu.admin.ch,,2001-01-01T00:00:00,2021-01-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,naturerbe,lebensraume-und-biotope,schutzgebiete,bgdi-bundesgeodaten-infrastruktur",2026-06-19
bundesinventar-der-auengebiete-von-nationaler-bedeutung,Bundesinventar der Auengebiete von nationaler Bedeutung,bnl@bafu.admin.ch,,1992-01-01T00:00:00,2017-11-01T00:00:00,,"biodiversitat,e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
bundesinventar-der-moorlandschaften-von-besonderer-schonheit-und-nationaler-bedeutung,Bundesinventar der Moorlandschaften von besonderer Schönheit und nationaler Bedeutung,bnl@bafu.admin.ch,,1996-01-01T00:00:00,2017-11-01T00:00:00,,"geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-haargurke,Invasive gebietsfremde Pflanzen - Potentialkarte Haargurke,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-kopoubohne,Invasive gebietsfremde Pflanzen - Potentialkarte Kopoubohne,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
larmbelastung-durch-eisenbahnverkehr-lr_tag,Lärmbelastung durch Eisenbahnverkehr (Lr_Tag),noise@bafu.admin.ch,,2009-01-01T00:00:00,2021-12-31T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,verkehrslarm,larmpegel,larmimmission,larmbelastung,larmwirkung,larmbekampfung,larm,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-runzelblattriger-schneeball,Invasive gebietsfremde Pflanzen - Potentialkarte Runzelblättriger Schneeball,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-kletternder-giftsumach,Invasive gebietsfremde Pflanzen - Potentialkarte Kletternder Giftsumach,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
bundesinventar-der-flachmoore-von-nationaler-bedeutung,Bundesinventar der Flachmoore von nationaler Bedeutung,bnl@bafu.admin.ch,,1994-01-01T00:00:00,2025-12-01T00:00:00,,"geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-herbst-traubenkirsche,Invasive gebietsfremde Pflanzen - Potentialkarte Herbst-Traubenkirsche,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-vielahriger-knoterich,Invasive gebietsfremde Pflanzen - Potentialkarte Vielähriger Knöterich,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
wildtierkorridore-uberregional,Wildtierkorridore Überregional,bnl@bafu.admin.ch,,,2025-02-01T00:00:00,,"fauna,wildtier,biotopverbund,lebensraume-und-biotope,umweltuberwachung,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-karolina-haarnixe,Invasive gebietsfremde Pflanzen - Potentialkarte Karolina-Haarnixe,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
pro-natura-naturschutzgebiete,Pro Natura Naturschutzgebiete,mailbox@pronatura.ch,,,2026-05-06T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
ubereinkommen-uber-feuchtgebiete-insbesondere-als-lebensraum-fur-wasser-und-watvogel-von-intern,"Übereinkommen über Feuchtgebiete, insbesondere als Lebensraum für Wasser- und Watvögel, von internationaler Bedeutung (Ramsar-Konvention)",bnl@bafu.admin.ch,,1976-01-01T00:00:00,2005-02-02T00:00:00,,"e-geoch-geoportal,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,umwelt,schutzgebiete,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-kaukasus-fettkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Kaukasus-Fettkraut,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
smaragd-gebiete,Smaragd Gebiete,bnl@bafu.admin.ch,,2009-09-17T00:00:00,,,"biotop,lebensraume-und-biotope,schutzgebiete,bgdi-bundesgeodaten-infrastruktur",2026-06-19
vernetzungssystem-wildtiere,Vernetzungssystem Wildtiere,bnl@bafu.admin.ch,,,2013-02-19T00:00:00,,"wildtier,fauna,biotopverbund,umweltuberwachung,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
typisierung-der-schweizer-fliessgewasser,Typisierung der Schweizer Fliessgewässer,wasser@bafu.admin.ch,,2013-01-01T00:00:00,,,"bgdi-bundesgeodaten-infrastruktur,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,fliessgewasser",2026-06-19
kartierung-der-auengebiete-von-nationaler-bedeutung,Kartierung der Auengebiete von nationaler Bedeutung,bnl@bafu.admin.ch,,1992-01-01T00:00:00,2026-05-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,e-geoch,umwelt,lebensraume-und-biotope,schutzgebiete,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-sudafrikanisches-greiskraut,Invasive gebietsfremde Pflanzen - Potentialkarte Südafrikanisches Greiskraut,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
inventar-der-schwingrasen,Inventar der Schwingrasen,bnl@bafu.admin.ch,,1990-01-01T00:00:00,,,"aufbewahrungs--und-archivierungsplanung-aap---bund,bryophyten,inventar,moor,verteilung-der-arten,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-japanischer-staudenknoterich,Invasive gebietsfremde Pflanzen - Potentialkarte Japanischer Staudenknöterich,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-amerikanischer-stinktierkohl,Invasive gebietsfremde Pflanzen - Potentialkarte Amerikanischer Stinktierkohl,info@infoflora.ch,,,2015-10-08T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-kirschlorbeer,Invasive gebietsfremde Pflanzen - Potentialkarte Kirschlorbeer,lionel.sager@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-gewohnliche-jungfernrebe,Invasive gebietsfremde Pflanzen - Potentialkarte Gewöhnliche Jungfernrebe,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
verbreitung-der-steinbockkolonien,Verbreitung der Steinbockkolonien,info@bafu.admin.ch,,1996-01-01T00:00:00,2020-03-31T00:00:00,,"e-geoch,aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,wildtier,wild,umwelt,habitat,artenschutz,verteilung-der-arten,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-verlotscher-beifuss,Invasive gebietsfremde Pflanzen - Potentialkarte Verlotscher Beifuss,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-riesenbarenklau,Invasive gebietsfremde Pflanzen - Potentialkarte Riesenbärenklau,info@infoflora.ch,,,2015-05-04T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
schadstofffreisetzungs-und-transferregister-der-schweiz-swissprtr,Schadstofffreisetzungs- und -transferregister der Schweiz (SwissPRTR),chemicals@bafu.admin.ch,,2007-01-01T00:00:00,2025-07-09T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,abfallbeseitigung,schadstoffquelle,abfallrecycling,schadstoff,chemikalien,sonderabfall,emittent,produktions--und-industrieanlagen,gesundheit-und-sicherheit,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-seidiger-hornstrauch,Invasive gebietsfremde Pflanzen - Potentialkarte Seidiger Hornstrauch,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
bundesinventar-der-trockenwiesen-und-weiden-von-nationaler-bedeutung-anhang-2,Bundesinventar der Trockenwiesen und -weiden von nationaler Bedeutung - Anhang 2,bnl@bafu.admin.ch,,,2025-12-01T00:00:00,,"inventar,biotop,trockengebiet,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur,bundesinventar,biodiversitat",2026-06-19
bundesinventar-der-wasser-und-zugvogelreservate-von-internationaler-und-nationaler-bedeutung,Bundesinventar der Wasser- und Zugvogelreservate von internationaler und nationaler Bedeutung,bnl@bafu.admin.ch,,1991-01-01T00:00:00,2023-07-01T00:00:00,,"e-geoch,geobasisdaten,aufbewahrungs--und-archivierungsplanung-aap---bund,zugvogel,wasservogel,umwelt,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
bundesinventar-der-trockenwiesen-und-weiden-von-nationaler-bedeutung-tww,Bundesinventar der Trockenwiesen und -weiden von nationaler Bedeutung (TWW),bnl@bafu.admin.ch,,2020-12-10T00:00:00,2025-12-01T00:00:00,,"aufbewahrungs--und-archivierungsplanung-aap---bund,geobasisdaten,biotop,trockengebiet,inventar,schutzgebiete,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
amphibienwanderungen-mit-verkehrskonflikten,Amphibienwanderungen mit Verkehrskonflikten,bnl@bafu.admin.ch,,,2024-09-02T00:00:00,,"verkehr,umwelt,amphibien,uberquerung-fur-tiere,verkehrsnetze,lebensraume-und-biotope,bgdi-bundesgeodaten-infrastruktur",2026-06-19
invasive-gebietsfremde-pflanzen-potentialkarte-drusiges-springkraut,Invasive gebietsfremde Pflanzen - Potentialkarte Drüsiges Springkraut,info@infoflora.ch,,,2015-04-02T00:00:00,,"umwelt,bgdi-bundesgeodaten-infrastruktur",2026-06-19
